"year","state","fleet","sector","landings_mt"
2020,NA,"hake","at-sea",86.12061121
2021,NA,"hake","at-sea",115.4926877
2022,NA,"hake","at-sea",187.1368936
2023,NA,"hake","at-sea",206.4510924
2024,NA,"hake","at-sea",66.56124121
2019,"California","bottom trawl",NA,10.2668106072503
2019,"California","midwater trawl",NA,142.608987655221
2019,"California","net",NA,0
2019,"California","hook and line",NA,2.0689653270454
2019,"Oregon","bottom trawl",NA,17.5903372523684
2019,"Oregon","midwater trawl",NA,6752.5064718732
2019,"Oregon","net",NA,0
2019,"Oregon","hook and line",NA,0.0294835040747246
2019,"Washington","bottom trawl",NA,0
2019,"Washington","midwater trawl",NA,1262.80070228074
2019,"Washington","net",NA,0
2019,"Washington","hook and line",NA,0.00544310844456454
2020,"California","bottom trawl",NA,8.71273959803607
2020,"California","midwater trawl",NA,84.7782283935742
2020,"California","net",NA,0
2020,"California","hook and line",NA,2.33505827859101
2020,"Oregon","bottom trawl",NA,64.9122433480248
2020,"Oregon","midwater trawl",NA,5834.06137457218
2020,"Oregon","net",NA,0.00181436948152151
2020,"Oregon","hook and line",NA,0.156820399493134
2020,"Washington","bottom trawl",NA,0.00181436948152151
2020,"Washington","midwater trawl",NA,1613.32820798146
2020,"Washington","net",NA,0
2020,"Washington","hook and line",NA,0.254465319783392
2021,"California","bottom trawl",NA,20.0755584146188
2021,"California","midwater trawl",NA,169.339552226857
2021,"California","net",NA,0
2021,"California","hook and line",NA,4.18056377603528
2021,"Oregon","bottom trawl",NA,83.435141384878
2021,"Oregon","midwater trawl",NA,8395.51997256698
2021,"Oregon","net",NA,0
2021,"Oregon","hook and line",NA,0.0154221405929329
2021,"Washington","bottom trawl",NA,0.22996829271397
2021,"Washington","midwater trawl",NA,1576.47999883082
2021,"Washington","net",NA,0
2021,"Washington","hook and line",NA,0.350173309933652
2022,"California","bottom trawl",NA,60.0168875614638
2022,"California","midwater trawl",NA,499.094807255493
2022,"California","net",NA,0
2022,"California","hook and line",NA,8.40059873830016
2022,"Oregon","bottom trawl",NA,66.7547355565099
2022,"Oregon","midwater trawl",NA,8794.531170973
2022,"Oregon","net",NA,0.0548846768160258
2022,"Oregon","hook and line",NA,0.0331122430377676
2022,"Washington","bottom trawl",NA,0.00453592370380378
2022,"Washington","midwater trawl",NA,1546.20934171491
2022,"Washington","net",NA,0
2022,"Washington","hook and line",NA,0.310257181340179
2023,"California","bottom trawl",NA,35.5367184792833
2023,"California","midwater trawl",NA,493.365617377182
2023,"California","net",NA,0
2023,"California","hook and line",NA,6.10145241093462
2023,"Oregon","bottom trawl",NA,46.7942858179056
2023,"Oregon","midwater trawl",NA,8108.35576240615
2023,"Oregon","net",NA,0
2023,"Oregon","hook and line",NA,0.97159485735477
2023,"Washington","bottom trawl",NA,0
2023,"Washington","midwater trawl",NA,1626.30769999992
2023,"Washington","net",NA,0
2023,"Washington","hook and line",NA,0.00453592370380378
2024,"California","bottom trawl",NA,16.0099611968964
2024,"California","midwater trawl",NA,0
2024,"California","net",NA,0
2024,"California","hook and line",NA,11.9276853831791
2024,"Oregon","bottom trawl",NA,11.5770380692184
2024,"Oregon","midwater trawl",NA,7449.83875588073
2024,"Oregon","net",NA,0
2024,"Oregon","hook and line",NA,0.922153288983308
2024,"Washington","bottom trawl",NA,0
2024,"Washington","midwater trawl",NA,1710.95245561801
2024,"Washington","net",NA,0
2024,"Washington","hook and line",NA,0.050348753112222
