"year","state","fleet","landings_mt"
1975,"CA","bottom trawl",429.9
1975,"CA","hook and line",28.4
1975,"CA","midwater trawl",0
1975,"CA","net",0
1975,"OR","bottom trawl",9
1975,"OR","hook and line",1.6
1975,"OR","midwater trawl",0
1975,"OR","net",0
1975,"WA","bottom trawl",12
1975,"WA","hook and line",0
1975,"WA","midwater trawl",0
1975,"WA","net",0
1976,"CA","bottom trawl",467.3
1976,"CA","hook and line",39.5
1976,"CA","midwater trawl",0
1976,"CA","net",0
1976,"OR","bottom trawl",56
1976,"OR","hook and line",2.2
1976,"OR","midwater trawl",0
1976,"OR","net",0
1976,"WA","bottom trawl",36.2
1976,"WA","hook and line",0
1976,"WA","midwater trawl",0
1976,"WA","net",0
1977,"CA","bottom trawl",459
1977,"CA","hook and line",38.1
1977,"CA","midwater trawl",0
1977,"CA","net",0
1977,"OR","bottom trawl",340
1977,"OR","hook and line",2.6
1977,"OR","midwater trawl",0
1977,"OR","net",0
1977,"WA","bottom trawl",125.8
1977,"WA","hook and line",0
1977,"WA","midwater trawl",0
1977,"WA","net",0
1978,"CA","bottom trawl",538.9
1978,"CA","hook and line",157.4
1978,"CA","midwater trawl",0
1978,"CA","net",0
1978,"OR","bottom trawl",340.1
1978,"OR","hook and line",3.8
1978,"OR","midwater trawl",0
1978,"OR","net",0
1978,"WA","bottom trawl",336.7
1978,"WA","hook and line",0
1978,"WA","midwater trawl",0
1978,"WA","net",0
1979,"CA","bottom trawl",2315.4
1979,"CA","hook and line",97.1
1979,"CA","midwater trawl",0
1979,"CA","net",0
1979,"OR","bottom trawl",519.4
1979,"OR","hook and line",6.4
1979,"OR","midwater trawl",3746
1979,"OR","net",0
1979,"WA","bottom trawl",305
1979,"WA","hook and line",0
1979,"WA","midwater trawl",2199.8
1979,"WA","net",0
1980,"CA","bottom trawl",5175.6
1980,"CA","hook and line",55.9
1980,"CA","midwater trawl",150.8
1980,"CA","net",0
1980,"OR","bottom trawl",410.8
1980,"OR","hook and line",3.7
1980,"OR","midwater trawl",8460.7
1980,"OR","net",0
1980,"WA","bottom trawl",338.4
1980,"WA","hook and line",0
1980,"WA","midwater trawl",6969.4
1980,"WA","net",3.4
1981,"CA","bottom trawl",2660.2
1981,"CA","hook and line",67.5
1981,"CA","midwater trawl",2627.4
1981,"CA","net",15.5
1981,"OR","bottom trawl",1527.1
1981,"OR","hook and line",4
1981,"OR","midwater trawl",13861.9
1981,"OR","net",0
1981,"WA","bottom trawl",681.2
1981,"WA","hook and line",0
1981,"WA","midwater trawl",6183.5
1981,"WA","net",3.2
1982,"CA","bottom trawl",3656.7
1982,"CA","hook and line",180.6
1982,"CA","midwater trawl",7008.1
1982,"CA","net",38.1
1982,"OR","bottom trawl",782.8
1982,"OR","hook and line",5.9
1982,"OR","midwater trawl",8184.4
1982,"OR","net",0
1982,"WA","bottom trawl",522
1982,"WA","hook and line",0
1982,"WA","midwater trawl",5458
1982,"WA","net",37.1
1983,"CA","bottom trawl",3667.1
1983,"CA","hook and line",23.5
1983,"CA","midwater trawl",205.1
1983,"CA","net",280
1983,"OR","bottom trawl",1403.6
1983,"OR","hook and line",10.2
1983,"OR","midwater trawl",1495.6
1983,"OR","net",0
1983,"WA","bottom trawl",1554.6
1983,"WA","hook and line",0
1983,"WA","midwater trawl",1656.5
1983,"WA","net",14.5
1984,"CA","bottom trawl",1434.6
1984,"CA","hook and line",22.8
1984,"CA","midwater trawl",1378.6
1984,"CA","net",324.8
1984,"OR","bottom trawl",1428.5
1984,"OR","hook and line",3.8
1984,"OR","midwater trawl",3982.8
1984,"OR","net",0
1984,"WA","bottom trawl",381.8
1984,"WA","hook and line",0
1984,"WA","midwater trawl",1064.6
1984,"WA","net",26.6
1985,"CA","bottom trawl",1363
1985,"CA","hook and line",26.1
1985,"CA","midwater trawl",1281.6
1985,"CA","net",585.8
1985,"OR","bottom trawl",895.1
1985,"OR","hook and line",1.1
1985,"OR","midwater trawl",3423.4
1985,"OR","net",0
1985,"WA","bottom trawl",317.6
1985,"WA","hook and line",0
1985,"WA","midwater trawl",1214.6
1985,"WA","net",40.2
1986,"CA","bottom trawl",1640.4
1986,"CA","hook and line",81.5
1986,"CA","midwater trawl",362.2
1986,"CA","net",500.8
1986,"OR","bottom trawl",1230.1
1986,"OR","hook and line",1.9
1986,"OR","midwater trawl",3150.5
1986,"OR","net",0
1986,"WA","bottom trawl",716.1
1986,"WA","hook and line",0
1986,"WA","midwater trawl",1834.1
1986,"WA","net",0
1987,"CA","bottom trawl",2261.1
